Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Haldwani,"30,33,000","3,06,300","1,42,885"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Haldwani,"32,41,000","3,27,100","1,50,679"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Bangalore,"18,99,000","3,62,441","75,793"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Bangalore,"24,83,000","5,00,203","89,812"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Bangalore,"25,18,000","5,07,196","90,651"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Bangalore,"26,33,000","5,30,173","93,412"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Bangalore,"26,83,000","5,40,163","94,612"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Bangalore,"26,83,000","5,40,163","94,612"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Bangalore,"27,18,000","5,47,156","95,451"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Bangalore,"28,33,000","5,70,133","98,213"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Bangalore,"28,33,000","5,70,133","99,486"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Bangalore,"28,83,000","5,80,123","99,414"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Bangalore,"30,33,000","6,10,093","1,03,014"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Bangalore,"32,41,000","6,51,652","1,08,008"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Mumbai,"18,99,000","2,65,860","1,02,453"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Mumbai,"24,83,000","3,72,450","1,24,973"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Mumbai,"25,18,000","3,77,700","1,26,323"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Mumbai,"26,33,000","3,94,950","1,30,758"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Mumbai,"26,83,000","4,02,450","1,32,686"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Mumbai,"26,83,000","4,02,450","1,32,686"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Mumbai,"27,18,000","4,07,700","1,34,035"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Mumbai,"28,33,000","4,24,950","1,38,470"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Mumbai,"28,33,000","4,24,950","1,38,470"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Mumbai,"28,83,000","4,32,450","1,40,398"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Mumbai,"30,33,000","4,54,950","1,46,183"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Mumbai,"32,41,000","4,86,150","1,54,204"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Pune,"18,99,000","2,65,860","1,02,453"
