Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance,On-Road Price
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Greater Noida,"8,74,000","69,920","44,019",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Greater Noida,"8,89,000","71,120","44,555",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Greater Noida,"9,34,000","74,720","46,165",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Greater Noida,"9,69,000","77,520","47,417",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Greater Noida,"9,84,000","78,720","47,953",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Greater Noida,"10,14,001","1,01,400","49,027",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Sonipat,"6,78,742","54,299","37,034",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Sonipat,"7,78,742","62,299","40,611",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Sonipat,"8,23,742","65,899","42,221",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Sonipat,"8,73,742","69,899","44,009",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Sonipat,"8,88,742","71,099","44,546",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Sonipat,"9,33,742","74,699","46,156",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Sonipat,"9,68,741","77,499","47,408",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Sonipat,"9,83,742","78,699","47,944",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Sonipat,"10,13,742","81,099","49,017",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Manesar,"6,79,001","54,320","37,043",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Manesar,"7,79,000","62,320","40,620",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Manesar,"8,24,000","65,920","42,230",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Manesar,"8,74,000","69,920","44,019",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Manesar,"8,89,000","71,120","44,555",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Manesar,"9,34,000","74,720","46,165",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Manesar,"9,69,000","77,520","47,417",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Manesar,"9,84,000","78,720","47,953",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Manesar,"10,14,001","81,120","49,027",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Bangalore,"6,79,000","95,060","37,744",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Bangalore,"7,79,000","1,09,060","41,424",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Bangalore,"8,24,000","1,15,360","43,080",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Bangalore,"8,74,000","1,22,360","44,920",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Bangalore,"8,89,000","1,24,460","45,472",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Bangalore,"9,33,999","1,30,759","47,128",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Bangalore,"9,69,000","1,35,660","48,416",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Bangalore,"9,84,000","1,37,760","48,968",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Bangalore,"10,14,000","1,72,380","50,072",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Mumbai,"6,79,000","74,690","37,744",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Mumbai,"7,79,000","85,690","41,424",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Mumbai,"8,24,000","90,640","43,080",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Mumbai,"8,74,000","61,180","44,920",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Mumbai,"8,89,000","97,790","45,472",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Mumbai,"9,33,999","1,02,739","47,128",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Mumbai,"9,84,000","68,880","48,968",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Mumbai,"9,69,000","1,06,590","48,416",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Mumbai,"10,14,000","1,21,680","50,072",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Pune,"6,79,000","74,690","37,744",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Pune,"7,79,000","85,690","41,424",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Pune,"8,24,000","90,640","43,080",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Pune,"8,74,000","61,180","44,920",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Pune,"8,89,000","97,790","45,472",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Pune,"9,33,999","1,02,739","47,128",N/A
Maruti,Maruti Suzuki Dzire,ZXI CNG,CNG  Top Model,Pune,"9,84,000","68,880","48,968",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus,Petrol,Pune,"9,69,000","1,06,590","48,416",N/A
Maruti,Maruti Suzuki Dzire,ZXI Plus AMT,Petrol  Top Model,Pune,"10,14,000","1,21,680","50,072",N/A
Maruti,Maruti Suzuki Dzire,LXI,Petrol  Base Model,Hyderabad,"6,79,000","95,060","37,744",N/A
Maruti,Maruti Suzuki Dzire,VXI,Petrol,Hyderabad,"7,79,000","1,09,060","41,424",N/A
Maruti,Maruti Suzuki Dzire,VXI AMT,Petrol,Hyderabad,"8,24,000","1,15,360","43,080",N/A
Maruti,Maruti Suzuki Dzire,VXI CNG,CNG  Base Model,Hyderabad,"8,74,000","1,22,360","44,920",N/A
Maruti,Maruti Suzuki Dzire,ZXI,Petrol,Hyderabad,"8,89,000","1,24,460","45,472",N/A
Maruti,Maruti Suzuki Dzire,ZXI AMT,Petrol,Hyderabad,"9,33,999","1,30,759","47,128",N/A
